Windurst - Minor${prompt};Windurst - Mineur${prompt}
I've gained a fair amount of experience.;J'ai acquis une certaine expérience.
Can we finish up here soon?${prompt};Pouvons-nous en finir bientôt ici ?${prompt}
Windurst's region points have increased!${prompt};Les points de la région de Windurst ont augmenté !${prompt}
Must be close to halfway by now.${prompt};Je dois être presque à mi-chemin maintenant.${prompt}
About double what I have now should be sufficient for the next level.${prompt};Environ le double de ce que j’ai maintenant devrait être suffisant pour le niveau suivant.${prompt}
Weapon Skill: Mercy Stroke;Compétence d'arme : Coup de pitié
Make sure you keep in touch!${prompt};Assurez-vous de rester en contact !${prompt}
Just say when!${prompt};Dis-moi juste quand !${prompt}
So...sleepy...${prompt};Alors... endormi...${prompt}
Nothing to worry about.;Il n'y a pas de quoi s'inquiéter.
${color-alt: 141}${name-player} is afflicted by the effect of slow and cannot operate the furnace.;${color-alt: 141}${name-player}est affecté par l'effet de ralentissement et ne peut pas faire fonctionner le four.
Magic A-OK!;Magie, OK !
Area: Abyssea - La Theine.${prompt};Secteur : Abyssea - La Theine.${prompt}
You need but ask, and it shall be done!${prompt};Il suffit de demander et cela sera fait !${prompt}
We've proved ourselves in battle this day.;Nous avons fait nos preuves au combat aujourd'hui.
A nice soft bed is looking good about now.;Un joli lit moelleux me semble bien maintenant.
Examine the synergy furnace to access the operating menu.;Examinez le four synergie pour accéder au menu de fonctionnement.
Your ${keyitem-singular: 1[2]} has been attuned to a geomagnetic fount in the corresponding locale.${prompt};Ton${keyitem-singular: 1[2]}a été accordé à une source géomagnétique dans le lieu correspondant.${prompt}
You lika gammmble?;Tu aimes jouer ?
Area: Dynamis - Bastok/Dynamis - Valkurm.${prompt};Domaine : Dynamis - Bastok/Dynamis - Valkurm.${prompt}
My next level is still ages away.;Mon prochain niveau est encore loin.
Come on!;Allez!
Well done, ${choice-player-gender}[sir/milady].;Bien joué,${choice-player-gender}[monsieur/madame].
Please remove your level restriction before endeavoring to participate.${prompt};Veuillez supprimer votre restriction de niveau avant de tenter de participer.${prompt}
Your curiosity and persistence will take you a long way.;Votre curiosité et votre persévérance vous mèneront loin.
${color-alt: 141}Pressurization Smarts have taken effect!;${color-alt: 141}La pressurisation intelligente a pris effet !
Bastok's region points have increased!${prompt};Les points de région de Bastok ont ​​​​augmenté !${prompt}
I'm sooo tirrred...${prompt};Je suis tellement fatiguée...${prompt}
I think I'm finally getting tired.;Je crois que je commence enfin à être fatigué.
Enemy: Monsters of the raptor family.;Ennemi : Monstres de la famille des rapaces.
Goldsmithing: Engraver's Touch.;Orfèvrerie : Toucher du Graveur.
As far as I remember.${prompt};Autant que je me souvienne.${prompt}
Later.${prompt};Plus tard.${prompt}
${lettercase: 1}${article} ${item-article: 8[2]} will be used to etch an aperture on the ${item-singular: 3[2]}.${prompt};${lettercase: 1}${article}${item-article: 8[2]}sera utilisé pour graver une ouverture sur le${item-singular: 3[2]}${prompt}
San d'Oria and Bastok are currently allies.${prompt};San d'Oria et Bastok sont actuellement alliés.${prompt}
ITEM_ID:${number: 2};ID_DE_L'ARTICLE :${number: 2}
I'll be around if you need me.${prompt};Je serai là si tu as besoin de moi.${prompt}
The synergy image ${choice: 0}[eludes you/is taking form/is nearly formed/has been formed/has been accurately formed/has been perfectly formed].;L'image de la synergie${choice: 0}[vous échappe/prend forme/est presque formé/a été formé/a été formé avec précision/a été parfaitement formé].
Enemy: Monsters of the crawler family.;Ennemi : Monstres de la famille des rampants.
ra:${number: 0} ti:${number: 1}${prompt};d)${number: 0}ti:${number: 1}${prompt}
Your furnace lost a small amount of durability.;Votre four a perdu un peu de durabilité.
We'll have to do something about your memory problem.${prompt};Nous devrons faire quelque chose pour votre problème de mémoire.${prompt}
${choice: 0}[/Hmm./This is a good pace!/Hmm./Well, well./Just a little more./Come on!/I'm past the halfway point./Just a little more!/Well, well.];${choice: 0}[/Hmm./C'est un bon rythme !/Hmm./Eh bien./Encore un peu./Allez !/J'ai dépassé la moitié du chemin./Encore un peu !/Eh bien.]
I eat, breathe, and sleep delivery services! Even if the heavens come tumbling down, the seas engulf all of Adoulin, or eternal darkness descends upon the world, you needn't worry about your package!${prompt};Je mange, je respire et je dors grâce aux services de livraison ! Même si les cieux s'écroulent, que les mers engloutissent tout Adoulin ou que les ténèbres éternelles s'abattent sur le monde, vous n'avez pas à vous soucier de votre colis !${prompt}
I've totally lost count...${prompt};J'ai complètement perdu le compte...${prompt}
${icon: water};${icon: water}
I'm scraping the bottom of the barrel here...${prompt};Je gratte le fond du baril ici...${prompt}
Trial ${number: 9}.;Procès${number: 9}
You regretfully throw the ${item-singular: 0[2]} away.${prompt};Vous jetez à regret le${item-singular: 0[2]}loin.${prompt}
I'm past the halfway point.;J'ai dépassé la moitié du chemin.
There is still much work to be done.;Il reste encore beaucoup de travail à faire.
Commencing synergy process.${prompt};Début du processus de synergie.${prompt}
${color-alt: 123}You have entered belligerency and your level has been restricted to ${number: 0}.${prompt};${color-alt: 123}Vous êtes entré en belligérance et votre niveau a été limité à${number: 0}${prompt}
Still ready for action?;Toujours prêt pour l'action ?
Weapon Skill: Randgrith;Compétence d'arme : Randgrith
Area: Dynamis - Xarcabard/Dynamis - Tavnazia.${prompt};Zone : Dynamis - Xarcabard/Dynamis - Tavnazia.${prompt}
Whoops!;Oups !
Enemy: Monsters of the hecteyes family.;Ennemi : Monstres de la famille des hecteyes.
Enemy: Any plantoid-type creature.;Ennemi : Toute créature de type plantoïde.
Okay, off we go!${prompt};Ok, c'est parti !${prompt}
${color-alt: 138}You are unable to make further progress in Rhapsodies of Vana'diel due to an event occurring in the ${choice: 1}[Chains of Promathia/Treasures of Aht Urhgan/Wings of the Goddess/Seekers of Adoulin/Rise of the Zilart] missions.;${color-alt: 138}Vous ne pouvez pas progresser davantage dans Rhapsodies of Vana'diel en raison d'un événement survenu dans le${choice: 1}Missions [Chaînes de Promathia/Trésors d'Aht Urhgan/Ailes de la Déesse/Chercheurs d'Adoulin/Ascension du Zilart].
Farewell.${prompt};Adieu.${prompt}
The Adventurer Gratitude Campaign is currently underway!;La campagne de gratitude des aventuriers est actuellement en cours !
Alrrright! I'll see you later.${prompt};Très bien ! À plus tard.${prompt}
${choice: 0}[/I'm tired./Phew!/Hm./A fruitful day./I'm exhausted./Phew!/We fought many battles today./Wow!/A fruitful day.];${choice: 0}[/Je suis fatigué./Ouf !/Hm./Une journée fructueuse./Je suis épuisé./Ouf !/Nous avons mené de nombreuses batailles aujourd'hui./Wow !/Une journée fructueuse.]
Hey, I just leveled up, didn't I?;Hé, je viens de passer au niveau supérieur, n'est-ce pas ?
50.;50.
I'm fine.;Je vais bien.
Through sustained effort and your invaluable assistance, I believe I now stand at the halfway point.${prompt};Grâce à des efforts soutenus et à votre aide inestimable, je crois que je suis désormais à mi-chemin.${prompt}
We're still good to go, right?;Nous sommes toujours prêts à partir, n'est-ce pas ?
I don't think I can handle another fight just yet.${prompt};Je ne pense pas que je puisse gérer un autre combat pour le moment.${prompt}
Enemy: Monsters of the bat family.;Ennemi : Monstres de la famille des chauves-souris.
The synergy furnace is currently in use by ${player: 1}.${prompt};Le four synergique est actuellement utilisé par${player: 1}${prompt}
Grant me your power!${prompt};Accorde-moi ton pouvoir !${prompt}
Predicting ahead, tomorrow's weather looks to be ${weather-adjective: 0[2]}.${prompt};En prévoyant à l'avance, la météo de demain semble être${weather-adjective: 0[2]}${prompt}
Just a little more!;Encore un petit peu plus !
View furnace readings.;Afficher les relevés du four.
Weapon Skill: Onslaught;Compétence d'arme : Assaut
Weapon Skill: Retribution;Compétence d'arme : Rétribution
The ancient magic of King Kupofried permeates the air to instill adventurers in this area with its Super Kupowers!;L'ancienne magie du roi Kupofried imprègne l'air pour inculquer aux aventuriers de cette région ses Super Kupowers !
My level won't rise if we stand around talking like this!${prompt};Mon niveau n'augmentera pas si nous restons là à discuter comme ça !${prompt}
You cannot obtain the ${item-plural: 0[2]}.;Vous ne pouvez pas obtenir le${item-plural: 0[2]}
Perform action?;Effectuer une action ?
Clothcraft: Lightning Affinity.;Tissu : Affinité avec la foudre.
Check-ActivityPts.：＋${number: 0}/Total ${number: 1}Pts.(${name-player});Check-ActivityPts.：＋${number: 0}/Total${number: 1}Pts.(${name-player}
Well? Tastes great, doesn't it!?${prompt};Eh bien ? C'est délicieux, n'est-ce pas ?!${prompt}
The beastmen are on the rise.${prompt};Les hommes-bêtes sont en plein essor.${prompt}
A San d'Orian Expeditionary Force has been dispatched to this area.${prompt};Un corps expéditionnaire de San d'Orian a été dépêché dans cette zone.${prompt}
Weapon Skill: Any archery weapon skill;Compétence d'arme : Toute compétence d'arme de tir à l'arc
What? You want me to go?${prompt};Quoi ? Tu veux que j'y aille ?${prompt}
There was no impact on fewell reserves or furnace durability.;Il n'y a eu aucun impact sur les réserves de Fewell ou sur la durabilité du four.
E.F. Influence: Poor...Region Status: Minor...Increase efforts.${prompt};E.F. Influence : Faible...Statut de la région : Mineur...Augmenter les efforts.${prompt}
Unable to review trial progress.;Impossible de vérifier la progression du procès.
We're not done, are we?;Nous n'avons pas fini, n'est-ce pas ?
Can't...fight...any...longer...;Je ne peux plus me battre...plus longtemps...
The timer has started. ${number: 0} seconds remaining.${prompt};Le chronomètre a démarré.${number: 0}secondes restantes.${prompt}
The last enemy we defeated was number ${number: 0}.;Le dernier ennemi que nous avons vaincu était le numéro${number: 0}
I question my ability to survive another battle.${prompt};Je remets en question ma capacité à survivre à une autre bataille.${prompt}
Kidding!${prompt};Blague!${prompt}
Area: Dynamis - Windurst/Dynamis - Buburimu.${prompt};Zone : Dynamis - Windurst/Dynamis - Buburimu.${prompt}
This could be bad...${prompt};Cela pourrait être mauvais...${prompt}
Around seven out of nine lives rrremaining!${prompt};Il reste environ sept vies sur neuf !${prompt}
Okay.;D'accord.
Let's get moving.${prompt};Allons-y.${prompt}
${choice: 0}[/Your fight is with me./Bring it on!/Over here./I will be your opponent this day!/I'll take it from here./Over here!/Over here./Hey! Don't ignore me!/I will be your opponent this day!]${prompt};${choice: 0}[/Ton combat est avec moi./Allez-y !/Par ici./Je serai ton adversaire aujourd'hui !/Je m'en charge à partir d'ici./Par ici !/Par ici./Hé ! Ne m'ignore pas !/Je serai ton adversaire aujourd'hui !]${prompt}
You suspect that the scenery around here would be to a moogle's liking...${prompt};Vous vous doutez que le paysage autour d'ici serait au goût d'un moogle...${prompt}
Where'd all my magic go!?${prompt};Où est passée toute ma magie !?${prompt}
You remove ${article} ${item-article: 0[2]} from the furnace.;Vous supprimez${article}${item-article: 0[2]}du four.
Forgot to tell you, but I have to be somewhere soon.${prompt};J'ai oublié de te le dire, mais je dois bientôt aller quelque part.${prompt}
Version invalid error!${prompt};Erreur de version invalide !${prompt}
Why, that would be heaps and heaps!${prompt};Eh bien, ce serait des tas et des tas !${prompt}
Enemy: Monsters of the scorpion family.;Ennemi : Monstres de la famille des scorpions.
Unable to claim usage.;Impossible de revendiquer l'utilisation.
There are no compatible apertures on this item.${prompt};Il n'y a pas d'ouvertures compatibles sur cet article.${prompt}
${choice: 0}[Unranked/First place/Second place/Third place/Fourth place/Fifth place]: ${choice: 1}[Pieuje/Ayame/Invincible Shield/Apururu/Maat/Aldo/Jakoh Wahcondalo/Naja Salaheem/Flaviria/Yoran-Oran/Sylvie].;${choice: 0}[Non classé/Première place/Deuxième place/Troisième place/Quatrième place/Cinquième place] :${choice: 1}[Pieuje/Ayame/Invincible Shield/Apururu/Maat/Aldo/Jakoh Wahcondalo/Naja Salaheem/Flaviria/Yoran-Oran/Sylvie].
希望商品番号:${number: 0};希望商品番号:${number: 0}
Get ready to pounce after me!${prompt};Préparez-vous à bondir après moi !${prompt}
${choice: 1}[Thwack/Fewell Combustion/Pressure Handle Operation/Safety Lever Operation/Furnace Repair/Fewell Clean-up]: Lv.${number: 0};${choice: 1}[Thwack/Combustion Fewell/Fonctionnement de la poignée de pression/Fonctionnement du levier de sécurité/Réparation du four/Nettoyage Fewell] : Nv.${number: 0}
Make haste and report to Cait Sith.${prompt};Dépêchez-vous et faites votre rapport à Cait Sith.${prompt}
Trial: Retrieve a set quantity of the assigned item.${prompt};Essai : Récupérer une quantité définie de l'article attribué.${prompt}
The synergy furnace is currently in use by ${player: 4}.${prompt};Le four synergique est actuellement utilisé par${player: 4}${prompt}
I feel a little...lightheaded.;Je me sens un peu... étourdi.
Claim usage of the furnace?;Réclamer l'utilisation du four ?
This may be the end...${prompt};C'est peut-être la fin...${prompt}
The synergy furnace is currently in use by ${player: 4}.;Le four synergique est actuellement utilisé par${player: 4}
Think well on the words of the Manifest, heretic!;Réfléchis bien aux paroles du Manifeste, hérétique !
You do not have enough gil.;Vous n'avez pas assez de gils.
Must be going.;Je dois y aller.
I love to chat.;J'aime discuter.
Alchemy: Alchemical Smarts.;Alchimie : intelligence alchimique.
...when you're having fun.${prompt};...quand tu t'amuses.${prompt}
Weapon Skill: Any dagger weapon skill;Compétence d'arme : n'importe quelle compétence d'arme de type dague
I gotta sit down...${prompt};Je dois m'asseoir...${prompt}
Freshwater.;Eau douce.
Fishing: Precision Thwack.;Pêche : Coup de précision.
Did you wait long?;Avez-vous attendu longtemps ?
${color-alt: 141}Anomaly detected in ${choice: 0}[${icon: fire}/${icon: ice}/${icon: wind}/${icon: earth}/${icon: lightning}/${icon: water}/${icon: light}/${icon: dark}] elemental power. Explosion imminent!;${color-alt: 141}Anomalie détectée dans${choice: 0}${icon: fire}${icon: ice}${icon: wind}${icon: earth}${icon: lightning}${icon: water}${icon: light}${icon: dark}] puissance élémentaire. Explosion imminente !
Trial: Defeat a set number of ${choice: 4}[experience-yielding monsters/monsters] with your fellow.${prompt};Épreuve : vaincre un nombre défini de${choice: 4}[monstres/monstres qui rapportent de l'expérience] avec vos camarades.${prompt}
${color-alt: 15}${choice: 0}[Chanandit/Deulmaeux/Demresinaux/Ephealgaux/Gauldeval/Grauffemart/Migaifongut/Romidiant] appears frightened by the ${item-singular: 1[2]}.${prompt};${color-alt: 15}${choice: 0}[Chanandit/Deulmaeux/Demresinaux/Ephealgaux/Gauldeval/Grauffemart/Migaifongut/Romidiant] semble effrayé par le${item-singular: 1[2]}${prompt}
${color-alt: 161}The ancient magic of King Kupofried fills the air, its glorious Super Kupowers bringing happiness and joy to the realm!;${color-alt: 161}L'ancienne magie du roi Kupofried remplit l'air, ses glorieux Super Kupowers apportant bonheur et joie au royaume !
Trial: Unleash your fellow's weapon skill a set number of times against ${choice: 4}[experience-yielding monsters/monsters].${prompt};Épreuve : utilisez la compétence d'arme de votre adversaire un certain nombre de fois contre${choice: 4}[monstres/monstres apportant de l’expérience].${prompt}
Area: Dynamis - Jeuno/Dynamis - Valkurm.${prompt};Secteur : Dynamis - Jeuno/Dynamis - Valkurm.${prompt}
Great, I'm ready for more!${prompt};Super, je suis prêt pour plus !${prompt}
Uh-oh!;Oh-oh !
I must be close to halfway to my next level by now.${prompt};Je dois être presque à mi-chemin de mon prochain niveau maintenant.${prompt}
This is a little...;C'est un peu...
2nd: San d'Oria and Bastok${prompt};2ème : San d'Oria et Bastok${prompt}
Enemy: Monsters of the spider family.;Ennemi : Monstres de la famille des araignées.
${color-alt: 121}${name-player} gained ${number: 0} ${choice: 1}[points of experience/limit points].;${color-alt: 121}${name-player}gagné${number: 0}${choice: 1}[points d’expérience/points limites].
One more victory should satisfy me for the day.${prompt};Une victoire supplémentaire devrait me satisfaire pour la journée.${prompt}
Let's see...;Voyons...
Enemy: Any aquan-type creature.;Ennemi : Toute créature de type Aquan.
Weapon Skill: Geirskogul;Compétence d'arme : Geirskogul
E.F. Influence: None...Region Status: Under beastman control...Keep losses to minimum.${prompt};Influence d'E.F. : Aucune... Statut de la région : Sous contrôle des hommes-bêtes... Limitez les pertes au minimum.${prompt}
${color-alt: 141}The fluctuation in internal pressure is being suppressed.;${color-alt: 141}La fluctuation de la pression interne est supprimée.
Are we done already!?${prompt};Avons-nous déjà fini !?${prompt}
Weapon Skill: Atonement;Compétence d'arme : Expiation
Finally, the forecast for the day after tomorrow calls for ${weather-noun: 0[2]} with occasional ${weather-noun: 1[2]}. There is also a slight chance of ${weather-noun: 2[2]}, so caution is in order.${prompt};Enfin, les prévisions pour après-demain annoncent${weather-noun: 0[2]}avec occasionnellement${weather-noun: 1[2]}Il existe également une légère chance de${weather-noun: 2[2]}, la prudence est donc de mise.${prompt}
My magical reserves are running low.${prompt};Mes réserves magiques s'épuisent.${prompt}
I need more experience if I'm gonna get stronger!${prompt};J'ai besoin de plus d'expérience si je veux devenir plus fort !${prompt}
Um, here goes... Er...nice weather, isn't it...?${prompt};Euh, ça y est... Euh... il fait beau, n'est-ce pas...?${prompt}
We should call it a day pretty soon.${prompt};Nous devrions mettre un terme à cette journée très bientôt.${prompt}
Whatever caught the hook was too small to catch with this rod.${prompt};Quel que soit l'objet qui a attrapé l'hameçon, il était trop petit pour être attrapé avec cette canne.${prompt}
You give the synergy furnace a measured thwack!;Vous donnez un coup mesuré au four synergétique !
Enemy: Monsters of the manticore family.;Ennemi : Monstres de la famille des manticores.
Review objective.;Objectif de la révision.
The grrreatest Mithra in the world--that's me!♪${prompt};Le plus grand Mithra du monde, c'est moi !♪${prompt}
We should keep the chat down.;Nous devrions réduire le nombre de bavardages.
FPT ${number: 0} TDPT ${number: 1} h${number: 2};FPT${number: 0}TDPT${number: 1}h${number: 2}
That last fight took it out of me.;Ce dernier combat m'a épuisé.
No, don't rrremind me!;Non, ne me le rappelle pas !
Weapon Skill: Knights of Round;Compétence d'arme : Chevaliers de la ronde
Good day.;Bonne journée.
Let's take a break, shall we?;Faisons une pause, d'accord ?
Flag.;Drapeau.
I humbly call upon thee! Protect us with your divine light!${prompt};Je t'invoque humblement ! Protège-nous de ta lumière divine !${prompt}
We just beat enemy number ${number: 0}.;Nous venons de battre l'ennemi numéro un${number: 0}
I have a full tank of magic!${prompt};J'ai un réservoir plein de magie !${prompt}
I'm not really interested.;Je ne suis pas vraiment intéressé.
San d'Oria's regional control is now 10% closer to the first place country's!${prompt};Le contrôle régional de San d'Oria est désormais 10 % plus proche de celui du pays qui occupe la première place !${prompt}
Area: Dynamis - San d'Oria/Dynamis - Qufim.${prompt};Zone : Dynamis - San d'Oria/Dynamis - Qufim.${prompt}
