1st: Windurst;
speed : ${number: 0} +- : ${number: 1} exc : ${number: 2} client : ${number: 3}${prompt};
I'm ready for more!${prompt};
DEBUG: ${number: 0} ${number: 1} ${number: 2} ${number: 3};
Magical reserves running low!${prompt};
You have learned ${keyitem-singular: 0[2]}!${prompt};
I come all the way here, and now you want me to leave? Hmph.;
CLI_NUM0:${number: 0} CLI_NUM1:${number: 1} CLI_NUM2:${number: 2} CLI_NUM3:${number: 3}${prompt};
The last enemy we defeated was number ${number: 0}.${prompt};
Enemy: Monsters of the slime family.;
${color-alt: 161}This area is currently affected by the Super Kupower: “Myriad Mystery Boxes”!;
item : ${number: 0} hp : ${number: 1} pow : ${number: 2} swing : ${number: 3}${prompt};
I hope you don't mind me asking, but...uh...;
Enemy: Monsters of the sea monk family.;
Yes, with new augment(s).;
I hope it's compatible with your taste buds...${prompt};
Kwakwah!;
Your fight is with me.${prompt};
Are you ready?;
${color-alt: 138}You are unable to make further progress in Rhapsodies of Vana'diel due to an event occurring in the quest ${choice: 1}[Champion of the Dawn/A Forbidden Reunion].;
Restore furnace durability by a significant amount.;
Area: Western Altepa Desert.${prompt};
Lost key item: ${lettercase: 1}${keyitem-singular: 0[2]}.${prompt};
As a token of thanks for your unflagging devotion to Vana'diel, please enjoy this special gift courtesy of the FINAL FANTASY XI team!;
${choice: 0}[/I think we've done enough for today./It's been a busy day!/That should be enough for today./I believe we reached our quota./No more fighting for me./I guess we should call it quits for today!/Time to take a break./I'm exhausted!/I believe we reached our quota.]${prompt};
E.F. Influence: Minimal...Region Status: Minimal...Increase efforts tenfold.${prompt};
1st: San d'Oria and Windurst (tie);
You're fairly sure you don't have enough skill to reel this one in.${prompt};
Remove all apertures?;
They just keep coming, don't they?${prompt};
2nd: Bastok;
Time sure does fly when you're having fun.${prompt};
Enemy: Monsters of any family.;
Weapon Skill: Impulse Drive;
Keenly observe the flow of elements to prevent ${icon: wind}-based explosions.;
${color-alt: 121}Your claim to the synergy furnace has been relinquished.;
This is getting borrring...${prompt};
Are we done already!?;
One more battle ought to do it.${prompt};
${color-alt: 15}${choice: 0}[Durib/Dzapiwa/Jugowa/Mugido/Voldai/Wagwei/Zayag/Zoldof] appears frightened by the ${item-singular: 1[2]}.${prompt};
Windurst - Minor${prompt};
I've gained a fair amount of experience.;
Can we finish up here soon?${prompt};
Windurst's region points have increased!${prompt};
Must be close to halfway by now.${prompt};
About double what I have now should be sufficient for the next level.${prompt};
Weapon Skill: Mercy Stroke;
Make sure you keep in touch!${prompt};
Just say when!${prompt};
So...sleepy...${prompt};
Nothing to worry about.;
${color-alt: 141}${name-player} is afflicted by the effect of slow and cannot operate the furnace.;
Magic A-OK!;
Area: Abyssea - La Theine.${prompt};
You need but ask, and it shall be done!${prompt};
We've proved ourselves in battle this day.;
A nice soft bed is looking good about now.;
Examine the synergy furnace to access the operating menu.;
Your ${keyitem-singular: 1[2]} has been attuned to a geomagnetic fount in the corresponding locale.${prompt};
You lika gammmble?;
Area: Dynamis - Bastok/Dynamis - Valkurm.${prompt};
My next level is still ages away.;
Come on!;
Well done, ${choice-player-gender}[sir/milady].;
Please remove your level restriction before endeavoring to participate.${prompt};
Your curiosity and persistence will take you a long way.;
${color-alt: 141}Pressurization Smarts have taken effect!;
Bastok's region points have increased!${prompt};
I'm sooo tirrred...${prompt};
I think I'm finally getting tired.;
Enemy: Monsters of the raptor family.;
Goldsmithing: Engraver's Touch.;
As far as I remember.${prompt};
Later.${prompt};
${lettercase: 1}${article} ${item-article: 8[2]} will be used to etch an aperture on the ${item-singular: 3[2]}.${prompt};
San d'Oria and Bastok are currently allies.${prompt};
ITEM_ID:${number: 2};
I'll be around if you need me.${prompt};
The synergy image ${choice: 0}[eludes you/is taking form/is nearly formed/has been formed/has been accurately formed/has been perfectly formed].;
Enemy: Monsters of the crawler family.;
ra:${number: 0} ti:${number: 1}${prompt};
Your furnace lost a small amount of durability.;
We'll have to do something about your memory problem.${prompt};
${choice: 0}[/Hmm./This is a good pace!/Hmm./Well, well./Just a little more./Come on!/I'm past the halfway point./Just a little more!/Well, well.];
I eat, breathe, and sleep delivery services! Even if the heavens come tumbling down, the seas engulf all of Adoulin, or eternal darkness descends upon the world, you needn't worry about your package!${prompt};
I've totally lost count...${prompt};
${icon: water};
I'm scraping the bottom of the barrel here...${prompt};
Trial ${number: 9}.;
You regretfully throw the ${item-singular: 0[2]} away.${prompt};
I'm past the halfway point.;
There is still much work to be done.;
Commencing synergy process.${prompt};
${color-alt: 123}You have entered belligerency and your level has been restricted to ${number: 0}.${prompt};
Still ready for action?;
Weapon Skill: Randgrith;
Area: Dynamis - Xarcabard/Dynamis - Tavnazia.${prompt};
Whoops!;
Enemy: Monsters of the hecteyes family.;
Enemy: Any plantoid-type creature.;
Okay, off we go!${prompt};
${color-alt: 138}You are unable to make further progress in Rhapsodies of Vana'diel due to an event occurring in the ${choice: 1}[Chains of Promathia/Treasures of Aht Urhgan/Wings of the Goddess/Seekers of Adoulin/Rise of the Zilart] missions.;
Farewell.${prompt};
The Adventurer Gratitude Campaign is currently underway!;
Alrrright! I'll see you later.${prompt};
${choice: 0}[/I'm tired./Phew!/Hm./A fruitful day./I'm exhausted./Phew!/We fought many battles today./Wow!/A fruitful day.];
Hey, I just leveled up, didn't I?;
50.;
I'm fine.;
Through sustained effort and your invaluable assistance, I believe I now stand at the halfway point.${prompt};
We're still good to go, right?;
I don't think I can handle another fight just yet.${prompt};
Enemy: Monsters of the bat family.;
The synergy furnace is currently in use by ${player: 1}.${prompt};
Grant me your power!${prompt};
Predicting ahead, tomorrow's weather looks to be ${weather-adjective: 0[2]}.${prompt};
Just a little more!;
View furnace readings.;
Weapon Skill: Onslaught;
Weapon Skill: Retribution;
The ancient magic of King Kupofried permeates the air to instill adventurers in this area with its Super Kupowers!;
My level won't rise if we stand around talking like this!${prompt};
You cannot obtain the ${item-plural: 0[2]}.;
Perform action?;
Clothcraft: Lightning Affinity.;
Check-ActivityPts.：＋${number: 0}/Total ${number: 1}Pts.(${name-player});
Well? Tastes great, doesn't it!?${prompt};
The beastmen are on the rise.${prompt};
A San d'Orian Expeditionary Force has been dispatched to this area.${prompt};
Weapon Skill: Any archery weapon skill;
What? You want me to go?${prompt};
There was no impact on fewell reserves or furnace durability.;
E.F. Influence: Poor...Region Status: Minor...Increase efforts.${prompt};
Unable to review trial progress.;
We're not done, are we?;
Can't...fight...any...longer...;
The timer has started. ${number: 0} seconds remaining.${prompt};
The last enemy we defeated was number ${number: 0}.;
I question my ability to survive another battle.${prompt};
Kidding!${prompt};
Area: Dynamis - Windurst/Dynamis - Buburimu.${prompt};
This could be bad...${prompt};
Around seven out of nine lives rrremaining!${prompt};
Okay.;
Let's get moving.${prompt};
${choice: 0}[/Your fight is with me./Bring it on!/Over here./I will be your opponent this day!/I'll take it from here./Over here!/Over here./Hey! Don't ignore me!/I will be your opponent this day!]${prompt};
You suspect that the scenery around here would be to a moogle's liking...${prompt};
Where'd all my magic go!?${prompt};
You remove ${article} ${item-article: 0[2]} from the furnace.;
Forgot to tell you, but I have to be somewhere soon.${prompt};
Version invalid error!${prompt};
Why, that would be heaps and heaps!${prompt};
Enemy: Monsters of the scorpion family.;
Unable to claim usage.;
There are no compatible apertures on this item.${prompt};
${choice: 0}[Unranked/First place/Second place/Third place/Fourth place/Fifth place]: ${choice: 1}[Pieuje/Ayame/Invincible Shield/Apururu/Maat/Aldo/Jakoh Wahcondalo/Naja Salaheem/Flaviria/Yoran-Oran/Sylvie].;
希望商品番号:${number: 0};
Get ready to pounce after me!${prompt};
${choice: 1}[Thwack/Fewell Combustion/Pressure Handle Operation/Safety Lever Operation/Furnace Repair/Fewell Clean-up]: Lv.${number: 0};
Make haste and report to Cait Sith.${prompt};
Trial: Retrieve a set quantity of the assigned item.${prompt};
The synergy furnace is currently in use by ${player: 4}.${prompt};
I feel a little...lightheaded.;
Claim usage of the furnace?;
This may be the end...${prompt};
The synergy furnace is currently in use by ${player: 4}.;
Think well on the words of the Manifest, heretic!;
You do not have enough gil.;
Must be going.;
I love to chat.;
Alchemy: Alchemical Smarts.;
...when you're having fun.${prompt};
Weapon Skill: Any dagger weapon skill;
I gotta sit down...${prompt};
Freshwater.;
Fishing: Precision Thwack.;
Did you wait long?;
${color-alt: 141}Anomaly detected in ${choice: 0}[${icon: fire}/${icon: ice}/${icon: wind}/${icon: earth}/${icon: lightning}/${icon: water}/${icon: light}/${icon: dark}] elemental power. Explosion imminent!;
Trial: Defeat a set number of ${choice: 4}[experience-yielding monsters/monsters] with your fellow.${prompt};
${color-alt: 15}${choice: 0}[Chanandit/Deulmaeux/Demresinaux/Ephealgaux/Gauldeval/Grauffemart/Migaifongut/Romidiant] appears frightened by the ${item-singular: 1[2]}.${prompt};
${color-alt: 161}The ancient magic of King Kupofried fills the air, its glorious Super Kupowers bringing happiness and joy to the realm!;
Trial: Unleash your fellow's weapon skill a set number of times against ${choice: 4}[experience-yielding monsters/monsters].${prompt};
Area: Dynamis - Jeuno/Dynamis - Valkurm.${prompt};
Great, I'm ready for more!${prompt};
Uh-oh!;
I must be close to halfway to my next level by now.${prompt};
This is a little...;
2nd: San d'Oria and Bastok${prompt};
Enemy: Monsters of the spider family.;
${color-alt: 121}${name-player} gained ${number: 0} ${choice: 1}[points of experience/limit points].;
One more victory should satisfy me for the day.${prompt};
Let's see...;
Enemy: Any aquan-type creature.;
Weapon Skill: Geirskogul;
E.F. Influence: None...Region Status: Under beastman control...Keep losses to minimum.${prompt};
${color-alt: 141}The fluctuation in internal pressure is being suppressed.;
Are we done already!?${prompt};
Weapon Skill: Atonement;
Finally, the forecast for the day after tomorrow calls for ${weather-noun: 0[2]} with occasional ${weather-noun: 1[2]}. There is also a slight chance of ${weather-noun: 2[2]}, so caution is in order.${prompt};
My magical reserves are running low.${prompt};
I need more experience if I'm gonna get stronger!${prompt};
Um, here goes... Er...nice weather, isn't it...?${prompt};
We should call it a day pretty soon.${prompt};
Whatever caught the hook was too small to catch with this rod.${prompt};
You give the synergy furnace a measured thwack!;
Enemy: Monsters of the manticore family.;
Review objective.;
The grrreatest Mithra in the world--that's me!♪${prompt};
We should keep the chat down.;
FPT ${number: 0} TDPT ${number: 1} h${number: 2};
That last fight took it out of me.;
No, don't rrremind me!;
Weapon Skill: Knights of Round;
Good day.;
Let's take a break, shall we?;
Flag.;
I humbly call upon thee! Protect us with your divine light!${prompt};
We just beat enemy number ${number: 0}.;
I have a full tank of magic!${prompt};
I'm not really interested.;
San d'Oria's regional control is now 10% closer to the first place country's!${prompt};
Area: Dynamis - San d'Oria/Dynamis - Qufim.${prompt};
Area: Dynamis - Bastok/Dynamis - Qufim.${prompt};
There was a curse on the beastmen's banner!${prompt};
Ready to go!${prompt};
Enemy: Monsters of the skeleton family.;
I've just leveled up, but with your help, it'll take no time at all to get to the next level!${prompt};
Result ：${number: 3} (0=caught);
I need to gain a little more experience for my next level!${prompt};
The next level is still some distance away.${prompt};
My magical reserves should suffice for now, but we best avoid taking unnecessary risks.${prompt};
Greetings.;
I'm yours to command.${prompt};
Weapon Skill: Ground Strike;
Quit.${prompt};
You are convinced that your moogle friend has been digging in the immediate vicinity.${prompt};
Your time is up!${prompt};
Bastok - Major${prompt};
${icon: light};
Last-ActivityPts.：${number: 0}Pts.(ID:${number: 1});
My magic?;
Phrase en Anglais;
It seems that you will have to wait a bit longer...${prompt};
Come back after you have obtained visitant status.;
I think I'm gonna fall over...${prompt};
Bastok and Windurst have formed an alliance.${prompt};
Should we make the next battle our last?${prompt};
Taste my wrath!${prompt};
You have to let me rest...${prompt};
I think I'm almost halfway to my next level.${prompt};
A fat, juicy goldfish approaches!${prompt};
${color-alt: 141}Alchemical Smarts have taken effect!;
I'm itching to get out and test my newfound strength!${prompt};
There are no current records in your ${keyitem-singular: 0[2]}.;
We really should rest.;
Be careful to get enough sleep.;
Sure, I'll help.;
Purge this evil with your purifying light!${prompt};
Meow!${prompt};
Adventurer!;
I'm good to go!${prompt};
I just leveled up!;
g:${number: 3}.${prompt};
${color-alt: 141}The effect of Combustive Smarts wears off.;
I'm starting to feel sorry for our opponents!;
We haven't defeated many enemies yet. Only ${number: 0} so far.${prompt};
Area: Dynamis - San d'Oria/Dynamis - Valkurm.${prompt};
I'm too badly hurt.;
Hmm.;
I think I can smell my next level!;
We'll have to do something about your indecisiveness.${prompt};
${icon: lightning};
Sorry to disappoint you, ${choice-player-gender}[sir/milady].${prompt};
Isn't it something like ${number: 0}?${prompt};
You successfully purge impurities from the synergy furnace.;
I didn't realize it was so late!${prompt};
My magic has recovered.;
A fruitful day.;
You have regained your eligibility to use the synergy furnace.${prompt};
Time to take a break.${prompt};
Not bad is it? I bet you never thought me to be a cooking type!${prompt};
Enemy: Monsters of the coeurl family.;
Bring it on!${prompt};
Enemy: Monsters of the tiger family.;
I've almost had enough for one day.${prompt};
I suppose I could stick around.${prompt};
Item.;
Elements and target values:;
Don't mind me, mind yourself.${prompt};
Weapon Skill: Black Halo;
The synergy furnace is currently in use by ${player: 2}.${prompt};
This is not your ${keyitem-singular: 0[2]}.;
Moogle's Almanack.;
${color-alt: 123}You have entered belligerency. Your level has been restricted to ${number: 0} and the attributes of applicable equipment you may be wearing have been appropriately reduced.${prompt};
You cannot obtain the item.;
San d'Oria and Windurst are currently allies.${prompt};
Remove and replace?${prompt};
You cannot view this event while holding claim over a synergy furnace.${prompt};
Weapon Skill: Dragon Kick;
We have accomplished much this day.${prompt};
Why hurry? Don't worry, be happy!${prompt};
Still need a little more experience for my next level.${prompt};
${color-alt: 121}You have carried over ${number: 1} login point${choice-plurality: 1}[/s].${prompt};
Enemy: Any beast-type creature.;
Let me check... It's ${number: 0}.${prompt};
This strength... You get the sense that you are on the verge of an epic catch!${prompt};
A member of your party already has claim over the synergy furnace.;
I take my leave of you.;
It might be time to keep an eye on my reserves.${prompt};
Let's not delay any further.${prompt};
Area: Palborough Mines.${prompt};
${color-alt: 141}The amount of impurities inside the furnace is gradually decreasing.;
I'm just guessing here, but I'd say we've destroyed about ${number: 0} ${choice-plurality: 0}[enemy/enemies] today!${prompt};
Area: Dynamis - Bastok/Dynamis - Buburimu.${prompt};
Area: Pashhow Marshlands.${prompt};
This is gonna be fun!${prompt};
${choice: 0}[/Getting rid of me already?/Are we done already!?/Are we done for the day?/Time to part ways?/Sending me on my way?/Are we done already!?/Time for goodbyes?/What? You want me to go?/Time to part ways?];
${color-alt: 15}${choice: 0}[Fhig/Khuma/Pimy/Raka/Sahyu/Sufhi/Tsuim/Yoli] appears frightened by the ${item-singular: 1[2]}.${prompt};
Something clamps onto your line ferociously!${prompt};
I think I must be almost halfway to my next level.;
Whoa!;
d:${number: 0}.;
Phew! I'm beat!;
Weapon Skill: Stringing Pummel;
Bastok - Minimal${prompt};
Keep your eyes open!;
Let me know if you want me to take the heat.;
Where does all the time go?${prompt};
Saltwater.;
Enemy: Any arcana-type creature.;
FPT ${number: 0} DPT ${number: 1} DoT${number: 2};
Smite this evil with your purifying light!${prompt};
We've been busy.${prompt};
Only ${number: 0}. You can count that high, right...?${prompt};
Just a little more.;
Select one;
Return.${prompt};
So relaxing...${prompt};
The attempt to repair the synergy furnace has failed.;
Enemy: Monsters of the leech family.;
Temporarily increase the likelihood of an elemental surge.;
Why, I would not be surprised if my level were to rise...now!;
You're here. I'm here.;
${choice: 0}[/You called?/Here I am!/You're here. I'm here./Greetings./Sure, I'll help./Hey there!/Good day./Hello!/Greetings.];
${color-alt: 161}This area is currently affected by the Super Kupower: “Dilatory Digestion”!;
That was much faster than I expected.${prompt};
Let's keep moving!${prompt};
I still have much experience to gain.${prompt};
ch${number: 0} skill up check.${prompt};
You must free at least ${number: 0} space${choice-plurality: 0}[/s] before trading any items.${prompt};
Are preparations in order, ${choice-player-gender}[sir/milady]?;
f:${number: 2}.;
Area: Dynamis - Jeuno.${prompt};
${color-alt: 161}This area is currently affected by the Super Kupower: “Boundary Buster”!;
Trial: Defeat a set number of ${choice: 4}[experience-yielding monsters/monsters] under the prescribed weather conditions, or on the corresponding day of the week.${prompt};
Weapon Skill: Spiral Hell;
Sorry, but I'm running low on magic.${prompt};
NO-MUTCH！;
You cannot carry any more ${keyitem-plural: 0[2]}.${prompt};
${icon: earth};
${choice: 0}[/There's still a lot of work to be done until the next one./I'm itching to get out and test my newfound strength!/I've just gained a level./The next level is still quite some distance away./The next level is still quite a way off./You can't expect me to level again any time soon!/The next level is still some distance away./But I still can't wait until I go up again!/The next level is still quite some distance away.]${prompt};
${number: 0}/${item-singular: 0[2]}をセット${prompt};
Something caught the hook!${prompt};
The claim holder's control over the synergy furnace has been compromised.;
${color-alt: 161}This area is currently affected by the Super Kupower: “Treasure Hound”!;
I believe our total comes to ${number: 0}.${prompt};
Feast your eyes on the might of an Orcish champion!${prompt};
Redo.${prompt};
All three nations are tied for first place.${prompt};
Enemy: Monsters of the magic pot family.;
Mem#3(${number: 0}) Mem#4(${number: 1}) Mem#5(${number: 2});
${choice: 0}[/I've gained a fair amount of experience./I think I must be almost halfway to my next level./Hmm./I believe I've almost reached the halfway point to my next level./I do believe I'm coming up on halfway to my next level./I think I must be almost halfway to my next level./I've come a long way towards my next level./We've been busy, huh?/I believe I've almost reached the halfway point to my next level.];
${color-alt: 161}Word has been received of a Mamool Ja threat in Wajaom Woodlands.${prompt};
A party member has an NPC called up.;
${color-alt: 138}You have been promoted to ${choice: 0}[/Private First Class/Superior Private/Lance Corporal/Corporal/Sergeant/Sergeant Major/Chief Sergeant/Second Lieutenant/First Lieutenant/Captain]!${prompt};
${color-alt: 141}The effect of Carbonization Smarts wears off.;
Regional influence:;
Witness the effectiveness of a common Quadav tactic!${prompt};
${color-alt: 161}This area is currently affected by the Super Kupower: “Thrifty Transit”!;
My magical reserves?;
Unable to proceed.;
Not much more to my next level!${prompt};
${color-alt: 161}This area is currently affected by the Super Kupower: “Artisan's Advantage”!;
Fewell has gone to waste.;
Um... I've been meaning to ask, I mean...;
We're just getting started!${prompt};
What do you think? I tried picking an aroma I thought you'd like, you know.${prompt};
Woodworking: Earth Affinity.;
My magic is restored.${prompt};
It's really a lot of fun adventuring with you.;
We've beaten at least two...right?${prompt};
It's just a scratch.${prompt};
Obtained ${number: 0} cruor. (Total: ${number: 1});
There is a beastmen's banner.${prompt};
It might be time to rest soon.${prompt};
Global balance of power:;
No need to worry.;
We've beaten a lot more than three now...prrrobably.${prompt};
Trial: Defeat a set number of ${choice: 4}[experience-yielding monsters/monsters] under the prescribed weather conditions.${prompt};
You have obtained ${number: 0} bayld!${prompt};
3rd: San d'Oria${prompt};
I can stay around a little more.${prompt};
I'm exhausted.;
Sooosomeone 'n needs ofa amput...anmpyu...amputit...amptitationn?${prompt};
${number: 0}/${number: 1}(${number: 2}）${prompt};
${color-alt: 141}The effect of Heating Smarts wears off.;
${choice: 0}[${icon: fire}/${icon: ice}/${icon: wind}/${icon: earth}/${icon: lightning}/${icon: water}/${icon: light}/${icon: dark}] fewell fed.;
${choice: 0}[/My magic?/Okay!/My magic has recovered./My magical reserves have recovered./My magic is restored./My magic status?/Okay./Okay!/My magical reserves have recovered.];
Heads up.;
Still more work to be done!${prompt};
Bastok - Dominant${prompt};
My preparations are complete.;
You spot some familiar footprints.;
Stay sharp!${prompt};
${choice: 0}[/I guess I'll be going./Well, I'm off then!/I'm headed off./I take my leave of you./Must be going./Well, I'm off then!/It's time for me to go./I gotta go now!/I take my leave of you.];
${choice: 0}[/...when you're having fun./Is that the time!/It's getting late./Quite some time has passed./It's past my bedtime./I didn't realize it was so late!/Where does all the time go?/It's getting late!/Quite some time has passed.]${prompt};
Enemy: Monsters of the bee family.;
Well, maybe half...${prompt};
I should be gaining a level soon.${prompt};
Seems to me all we do is fight, fight, and fight.;
${color-alt: 141}The synergy furnace is incurring less damage over time.;
Weapon Skill: Metatron Torment;
Weapon Skill: Empyreal Arrow;
Here we go!${prompt};
You have obtained ${number: 0} bayld!;
${color-alt: 123}The maximum level of the content you are currently attempting is ${number: 0}.${prompt};
My magic has recovered.${prompt};
I have lots of work to do!;
Okay, kiddo.;
My magical reserves are full.${prompt};
判定：${number: 1}${prompt};
An aura of irrepressible might threatens to overwhelm you...${prompt};
Area: Eastern Altepa Desert.${prompt};
A tiny goldfish approaches!${prompt};
The synergy furnace is currently in use by ${player: 2}.;
I'm ready.;
Fewell can be fed by trading it directly to the furnace.${prompt};
I have more than enough magic.${prompt};
You cannot obtain the ${item-singular: 0[2]}.${prompt};
Off we go!;
Weapon Skill: Vidohunir;
The mine misfires...${prompt};
Overcautious? Perhaps.${prompt};
We've been through a good number of enemies.;
You give up and reel in your line.${prompt};
Enemy: Monsters of the bugard family.;
The operation failed to produce a significant quantity of cinder.;
Area: Abyssea - Konschtat.${prompt};
2nd: San d'Oria and Windurst (tie)${prompt};
Area: Carpenters' Landing.${prompt};
${choice: 0}[Fhig/Khuma/Pimy/Raka/Sahyu/Sufhi/Tsuim/Yoli]'s personality changes!${prompt};
Internal elemental balance:;
Weapon Skill: Mystic Boon;
How many enemies have we defeated?;
${color-alt: 141}${name-player} is poisoned and cannot operate the furnace.;
I think we've done enough for today.${prompt};
You've got some stuck on your lips.${prompt};
Trial ${number: 4}.;
I see an opening.;
This? An injury?;
Area: Dangruf Wadi.${prompt};
Hmm, around ${number: 0}...${prompt};
Magic?;
Umm...around ${number: 0}.;
I think I've earned a break, don't you?${prompt};
You have a hunch that this area would be favored by moogles...${prompt};
My reflexes are starting to slow.;
No need to worry, okay?${prompt};
Trial ${number: 6}.;
Call me again any time!${prompt};
Trial ${number: 1}.;
Close observation of the sky reveals that the weather in this area today will be ${weather-adjective: 0[2]} with occasional ${weather-noun: 1[2]}. There is also a slight chance of ${weather-noun: 2[2]}, so caution is in order.${prompt};
I'm headed off.;
...tougher than I expected.${prompt};
Follow my lead!${prompt};
Look at that.;
You cannot perform that action.;
You find the hoofprint of a gigantic warhorse...${prompt};
Smithing: Fire Affinity.;
The next level is still quite some distance away.${prompt};
Area: Misareaux Coast.${prompt};
${number: 4} ${number: 5} ${number: 6} ${number: 7};
Well, I'm off then!;
Trial: Unleash the additional effect of the prescribed weapon a set number of times against the assigned ${choice: 4}[experience-yielding monsters/monsters].${prompt};
I've just recently gained a level.;
That recipe is impossible at your synergy skill level.${prompt};
Area: North Gustaberg (S).${prompt};
I love this time!;
Yes.;
I was supposed to be--ow! My head hurrrts...${prompt};
Defeated enemies?;
Weapon Skill: Any polearm weapon skill;
I...will not...be bested!${prompt};
${number: 0}...${prompt};
Finally, the forecast for the day after tomorrow calls for ${weather-noun: 0[2]}.${prompt};
Apologies for the delay.;
Conquest results tallied.${prompt};
Thank you for asking, but this is no cause for concern.${prompt};
Enemy: Any bird-type creature.;
I'm exhausted!${prompt};
I shall be prepared for for when you next call.${prompt};
Keenly observe the flow of elements to prevent ${icon: water}-based explosions.;
Time for goodbyes?;
Then, I shall proceed with my offensive.${prompt};
${color-alt: 15}${choice: 0}[Cupapa/Jajuju/Kalokoko/Mahoyaya/Pakurara/Ripokeke/Yawawa/Yufafa] appears frightened by the ${item-singular: 1[2]}.${prompt};
As you wish. I shall be prepared for when you next call.${prompt};
0:${number: 0} 1:${number: 1} 2:${number: 2} 3:${number: 3}${prompt};
I'm halfway there...maybe?${prompt};
Access granted!;
Next page.${prompt};
San d'Oria and Windurst have formed an alliance.${prompt};
The mine explodes!${prompt};
Let's go!${prompt};
Time to part ways?${prompt};
2nd: San d'Oria${prompt};
Relinquish your claim to the synergy furnace?;
Return.;
My magic is running low.${prompt};
${color-alt: 123}The level of difficulty for this content is ${number: 0}.${prompt};
Area: Valkurm Dunes.${prompt};
There is a time and place for idle chatter.;
You never know when an enemy may be near...${prompt};
I'm ready to continue.${prompt};
Either is fine with me.${prompt};
You discover a cache of beastman resources and receive ${number: 0} Imperial Standing!${prompt};
You are now able to call forth alter egos here because you have obtained the ${keyitem-singular: 0[2]} key item.;
I saved this just for you!${prompt};
${color-alt: 121}Existing size data for your ${item-singular: 0[2]} will be lost.;
No problem!;
Weapon Skill: Any scythe weapon skill;
Area: Dynamis - Jeuno/Dynamis - Qufim.${prompt};
Please forgive my tardiness.;
I've just gained a level.${prompt};
My magic...;
Area: Garlaige Citadel.${prompt};
${entity: 0} fishes up a large box!${prompt};
Until next we meet.${prompt};
I'm slowly getting closer to the next level.${prompt};
${color-alt: 141}${name-player} is paralyzed and cannot operate the furnace.;
You discover a cache of beastman confederate resources and receive ${number: 0} allied note${choice-plurality: 0}[/s]!${prompt};
Obtained ${number: 0} cruor. (Total: ${number: 1})${prompt};
2nd: Bastok and Windurst (tie)${prompt};
You have a bad feeling about this one.${prompt};
Hey there!;
DEBUG：Forced perfection.;
I'm taking my shot!${prompt};
There is nothing out of the ordinary here.${prompt};
${choice: 0}[/My experience is still shallow./I have lots of work to do!/Not even close.../There is still much work to be done./Not even close.../I have lots of work to do!/I still have much to do./Ho-hum./There is still much work to be done.];
How many enemies have we downed?;
Around ${number: 0}, I suppose...${prompt};
Gather and feed explosion-strewn fewell fragments to the furnace. Increases the quantity of cinder obtained as a by-product.;
My next level is now visible on the horizon.${prompt};
Changing your weapon is fun.;
My next level is almost within sight!${prompt};
No.;
Weapon Skill: Insurgency;
Close observation of the sky reveals that the weather in this area today will be ${weather-adjective: 0[2]}.${prompt};
${color-alt: 161}This area is currently affected by the Super Kupower: “Bountiful Bazaar”!;
Gradually purge the furnace of impurities.;
Come back after sorting your inventory.${prompt};
Enemy: Monsters of the Ahriman family.;
Let's make the next battle our last.${prompt};
<Puff, wheeze>;
