Phrase en Anglais;Phrases en français
You cannot view this event while holding claim over a synergy furnace.${prompt};
${color-alt: 123}You cannot perform that action with a free trial account.${prompt};
You must wait another ${number: 0} ${choice-plurality: 0}[day/days] to perform that action.${prompt};
${color-alt: 121}${name-player} gained ${number: 0} ${choice: 1}[points of experience/limit points].;
You cannot carry any more ${keyitem-plural: 0[2]}.${prompt};
${color-alt: 121}You have carried over ${number: 1} login point${choice-plurality: 1}[/s].${prompt};
The ${choice: 1}[/January/February/March/April/May/June/July/August/September/October/November/December] ${number: 0} Login Campaign is currently underway!;
${prompt};
In celebration of your most recent login (login no. ${number: 1}), we have provided you with ${number: 2} points!;
You currently have a total of ${number: 3} points.${prompt};
${prompt};
${prompt};
${prompt};
You have obtained ${number: 0} bayld!${prompt};
You have obtained ${number: 0} bayld!;
You do not have enough bayld!${prompt};
You do not have enough bayld!;
You can now become a ${choice: 0}[geomancer/rune fencer]!${prompt};
Your ${keyitem-singular: 1[2]} has been attuned to a geomagnetic fount in the corresponding locale.${prompt};
A faint energy wafts up from the ground.${prompt};
Your device has already been attuned to a geomagnetic fount in the corresponding locale.${prompt};
You have learned ${keyitem-singular: 0[2]}!${prompt};
I eat, breathe, and sleep delivery services! Even if the heavens come tumbling down, the seas engulf all of Adoulin, or eternal darkness descends upon the world, you needn't worry about your package!${prompt};
${color-alt: 123}The level of difficulty for this content is ${number: 0}.${prompt};
Your maximum level has been raised to ${choice: 0}[50/55/60/65/70/75/80/85/90/95/99]!${prompt};
${color-alt: 123}You have entered belligerency.${prompt};
${color-alt: 123}You have entered belligerency and your level has been restricted to ${number: 0}.${prompt};
${color-alt: 123}You have entered belligerency. Your level has been restricted to ${number: 0} and the attributes of applicable equipment you may be wearing have been appropriately reduced.${prompt};
You have learned a new instinct!${prompt};
${color-alt: 123}Your party is unable to participate because certain members' levels are restricted.${prompt};


Windurst - Minor${prompt};
Windurst - Minimal${prompt};
Bastok and Windurst have formed an alliance.${prompt};
San d'Oria and Windurst have formed an alliance.${prompt};
San d'Oria and Bastok have formed an alliance.${prompt};
Bastok and Windurst are currently allies.${prompt};
San d'Oria and Windurst are currently allies.${prompt};
San d'Oria and Bastok are currently allies.${prompt};
æ‰€å±žå›½ï¼š${number: 0};
åˆ¤å®šï¼š${number: 1}${prompt};
è£…å‚™ãƒã‚§ãƒƒã‚¯ï¼š${number: 0};
ã‚¢ã‚¤ãƒ†ãƒ ï¼š${item-singular: 2[2]};
å¼•ããƒã‚¤ãƒ³ãƒˆï¼š${number: 3}${prompt};
ITEM_ID:${number: 2};
å¸Œæœ›å•†å“ç•ªå·:${number: 3}${prompt};
å¸Œæœ›å•†å“ç•ªå·:${number: 0};
å¼•ããƒã‚¤ãƒ³ãƒˆ:${number: 1}${prompt};
${choice: 0}[ã‚µãƒ³ãƒ‰ãƒªã‚¢/ãƒã‚¹ãƒˆã‚¥ãƒ¼ã‚¯/ã‚¦ã‚£ãƒ³ãƒ€ã‚¹]ã®çŠ¶æ³:${choice: 0}[åŠ£å‹¢/ã‚„ã‚„åŠ£å‹¢/ã‚„ã‚„å„ªå‹¢/å„ªå‹¢/è† ç€];
æ­¦å™¨ã®å€¤æ®µ:${number: 2}ã€å…¥ã‚Œã‚‹ãƒã‚¤ãƒ³ãƒˆ:${number: 3}${prompt};
The beastmen are gaining power.${prompt};
San d'Oria's regional control is now 10% closer to the first place country's!${prompt};
Bastok's regional control is now 10% closer to the first place country's!${prompt};
Windurst's regional control are now 10% closer to the first place country's!${prompt};
San d'Oria's region points have increased!${prompt};
Bastok's region points have increased!${prompt};
Windurst's region points have increased!${prompt};
San d'Orian E.F. defeats beastmen hordes... Maintain current momentum.${prompt};
Bastokan E.F. defeats beastmen hordes...Maintain current momentum.${prompt};
Windurstian E.F. defeats beastmen hordes...Maintain current momentum.${prompt};
A San d'Orian Expeditionary Force has been dispatched to this area.${prompt};
A Bastokan Expeditionary Force has been dispatched to this area.${prompt};
A Windurstian Expeditionary Force has been dispatched to this area.${prompt};
E.F. Influence: Great...Region Status: Dominant...Maintain current level of combat.${prompt};
E.F. Influence: Fair...Region Status: Major...Maintain momentum.${prompt};
E.F. Influence: Poor...Region Status: Minor...Increase efforts.${prompt};
E.F. Influence: Minimal...Region Status: Minimal...Increase efforts tenfold.${prompt};
E.F. Influence: None...Region Status: Under beastman control...Keep losses to minimum.${prompt};
There was a curse on the beastmen's banner!${prompt};
The curse of the beastmen's banner has been lifted!${prompt};
There is a beastmen's banner.${prompt};
${prompt};

${prompt};
é å¾å…ˆãƒªãƒ¼ã‚¸ãƒ§ãƒ³ãƒŠãƒ³ãƒãƒ¼ã€€${number: 0};
ç¾åœ¨ã®ãƒªãƒ¼ã‚¸ãƒ§ãƒ³ãƒŠãƒ³ãƒãƒ¼ã€€${number: 1}${prompt};
å¢—ãˆãŸãƒã‚¤ãƒ³ãƒˆã€€${number: 0};
å¢—ãˆãŸã‚«ã‚¦ãƒ³ãƒˆã€€${number: 1}${prompt};
You can't fish here.${prompt};
You can't fish without a rod in your hands.${prompt};
You can't fish without bait on the hook.${prompt};
You can't fish at the moment.${prompt};
You didn't catch anything.${prompt};
${entity: 0} caught a monster!${prompt};
Your line breaks.${prompt};
Your rod breaks.${prompt};
Something caught the hook!${prompt};
You lost your catch.${prompt};
${entity: 0} caught ${article} ${item-article: 0[2]}, but cannot carry any more items.;
${entity: 0} regretfully releases the ${item-singular: 0[2]}.${prompt};
You feel there's something here.${prompt};
You feel there's something nearby.${prompt};
You dig up ${article} ${item-article: 0[2]}, but your inventory is full.;
You regretfully throw the ${item-singular: 0[2]} away.${prompt};
${entity: 0} caught ${item-count: 1[2]} ${item-given-plurality: 1[2], 0[2]}!${prompt};
You dig and you dig, but find nothing.${prompt};
${number: 0}/${item-singular: 0[2]}ã‚’ã‚»ãƒƒãƒˆ${prompt};
Your rod breaks.;
Whatever caught the hook was pretty big.${prompt};
Your rod breaks.;
Whatever caught the hook was too heavy to catch with this rod.${prompt};
You lost your catch.;
Whatever caught the hook was too small to catch with this rod.${prompt};
You lost your catch due to your lack of skill.${prompt};
Number fished : ${number: 0};
Original Dice No. ï¼š${number: 1}ï¼‹${number: 2};
Result ï¼š${number: 3} (0=caught);
${prompt};
You didn't catch anything.${prompt};
The paper on your ${item-singular: 0[2]} ripped.${prompt};
A tiny goldfish approaches!${prompt};
A plump, black goldfish approaches!${prompt};
A fat, juicy goldfish approaches!${prompt};
There are no goldfish to be found...${prompt};
${entity: 0} caught ${article} ${item-article: 0[2]}, but cannot carry any more items.;
${entity: 0} regretfully releases it.${prompt};
The goldfish slipped off your scoop...${prompt};
ch${number: 0} skill up check.${prompt};
a:${number: 0}.${prompt};
Time ${number: 0} / Status ${number: 1} / ${number: 2}${prompt};
d:${number: 0}.;
e:${number: 1}.;
f:${number: 2}.;
g:${number: 3}.${prompt};
h: ${number: 1}.;
i: ${number: 0}.;
sr: ${number: 2}.${prompt};
j:${number: 0}.;
k:${number: 1}.${prompt};
You give up and reel in your line.${prompt};
You give up.${prompt};
${entity: 0} obtains ${number: 1} gil.${prompt};
${entity: 0} caught ${article} ${item-article: 0[2]}!${prompt};
You don't know how much longer you can keep this one on the line...${prompt};
You have a good feeling about this one!${prompt};
You have a bad feeling about this one.${prompt};
You have a terrible feeling about this one...${prompt};
You don't know if you have enough skill to reel this one in.${prompt};
You're fairly sure you don't have enough skill to reel this one in.${prompt};
You're positive you don't have enough skill to reel this one in!${prompt};
Select Fish Type:;
${selection-lines};
Saltwater.;
Freshwater.;
Item.;
Flag.;
Treasure Chest.;
Monster.${prompt};
Select one;
${selection-lines};
${item-singular: 0[2]}ï¼ˆ${number: 0}ï¼‰.;
${lettercase: 1}${item-singular: 1[2]}ï¼ˆ${number: 1}ï¼‰.;
${lettercase: 1}${item-singular: 2[2]}ï¼ˆ${number: 2}ï¼‰.;
${lettercase: 1}${item-singular: 3[2]}ï¼ˆ${number: 3}ï¼‰.;
${lettercase: 1}${item-singular: 4[2]}ï¼ˆ${number: 4}ï¼‰.;
${lettercase: 1}${item-singular: 5[2]}ï¼ˆ${number: 5}ï¼‰.;
${lettercase: 1}${item-singular: 6[2]}ï¼ˆ${number: 6}ï¼‰.;
${lettercase: 1}${item-singular: 7[2]}ï¼ˆ${number: 7}ï¼‰.;
Next.${prompt};
l: ${number: 0}.;
m: ${number: 1}.;
n: ${number: 2}.;
CH: ${number: 3}.${prompt};
Something caught the hook!!!${prompt};
You feel something pulling at your line.${prompt};
Something clamps onto your line ferociously!${prompt};
Your keen angler's senses tell you that this is the pull of ${article} ${item-article: 0[2]}!${prompt};
This strength... You get the sense that you are on the verge of an epic catch!${prompt};
The timer has started. ${number: 0} seconds remaining.${prompt};
${number: 0}sec.${number: 1}/${number: 2}sec.${prompt};
0:${number: 0} 1:${number: 1} 2:${number: 2} 3:${number: 3}${prompt};
4:${number: 0} 5:${number: 1} 6:${number: 2} 7:${number: 3}${prompt};
Select.;
${selection-lines};
Set.;
${keyitem-singular: 8[2]}: ${choice: 0}[ON/OFF].;
${keyitem-singular: 9[2]}: ${choice: 1}[ON/OFF].;
${keyitem-singular: 10[2]}: ${choice: 2}[ON/OFF].;
${keyitem-singular: 11[2]}: ${choice: 3}[ON/OFF].${prompt};
You lost your catch.;
Whatever caught the hook was too large to catch with this rod.${prompt};
${number: 0}/${number: 1}(${number: 2}ï¼‰${prompt};
Version invalid error!${prompt};
Hurry before the goldfish sees you!${prompt};
${entity: 0} fishes up a large box!${prompt};
é€å‡ºèª¿æŸ»${number: 0}${prompt};
Fish Noï¼š${number: 0} / Bait Noï¼š${number: 1} / Hitï¼š${number: 2} >>> ${number: 3}${prompt};
Pointï¼š${number: 0} >>> ${number: 1}${prompt};
é­šï¼š${item-singular: 1[2]}(${number: 0});
skillï¼š${number: 1}${prompt};
Im Min : ${number: 0};
Im Max : ${number: 1};
Pz Min : ${number: 2};
Pz Max : ${number: 3}${prompt};
Im Rnd : ${number: 0};
Pz Rnd : ${number: 1}${prompt};
CLI_NUM0:${number: 0} CLI_NUM1:${number: 1} CLI_NUM2:${number: 2} CLI_NUM3:${number: 3}${prompt};
CLI_NUM4:${number: 0} CLI_NUM5:${number: 1} CLI_NUM6:${number: 2} CLI_NUM7:${number: 3}${prompt};
skill : ${number: 0} size : ${number: 1} kind : ${number: 2} sch : ${number: 3}${prompt};
time : ${number: 0} mes : ${number: 1} flag : ${number: 2} bonus : ${number: 3}${prompt};
item : ${number: 0} hp : ${number: 1} pow : ${number: 2} swing : ${number: 3}${prompt};
suc : ${number: 0} cons : ${number: 1} weight : ${number: 2} +- : ${number: 3}${prompt};
speed : ${number: 0} +- : ${number: 1} exc : ${number: 2} client : ${number: 3}${prompt};
general : ${number: 0}${prompt};
ro:${number: 0} rs:${number: 1} ps:${number: 2} dt:${number: 3}${prompt};
ra:${number: 0} ti:${number: 1}${prompt};
You spot some familiar footprints.;
You are convinced that your moogle friend has been digging in the immediate vicinity.${prompt};
You get the distinct sense that your moogle friend frequents this spot...${prompt};
You have a feeling that your moogle friend has been through this way...${prompt};
You suspect that the scenery around here would be to a moogle's liking...${prompt};
You have a vague feeling that a moogle would enjoy traversing this terrain...${prompt};
You have a hunch that this area would be favored by moogles...${prompt};
Your chocobo is pulling at the bit.;
You sense that it is leading you to the ${choice: 0}[east/southeast/south/southwest/west/northwest/north/northeast].${prompt};
${entity: 0} catches ${number: 1} ${item-given-plurality: 1[2], 0[2]}!${prompt};
${entity: 0} obtained ${keyitem-article: 0[2]}!${prompt};
It appears your chocobo found this item with ease.${prompt};
Your chocobo appears to have gained valuable knowledge from this discovery.${prompt};
FPT ${number: 0} DPT ${number: 1} DoT${number: 2};
FPT ${number: 0} TDPT ${number: 1} h${number: 2};
You cannot fish at this time.${prompt};
You discover a cache of beastman resources and receive ${number: 0} conquest point${choice-plurality: 0}[/s]!${prompt};
You discover a cache of beastman resources and receive ${number: 0} Imperial Standing!${prompt};
You discover a cache of beastman confederate resources and receive ${number: 0} allied note${choice-plurality: 0}[/s]!${prompt};
You receive ${number: 0} bayld!${prompt};
Your chocobo refuses to partake of the ${item-singular: 0[2]}.${prompt};
Your fate rides on the changing winds of Vana'diel.;
I can give you insight on the local weather.${prompt};
What area's weather do you wish to know?;
${selection-lines};
Nowhere.;
Ronfaure.;
La Theine Plateau.;
Valkurm Dunes.;
Jugner Forest.;
Batallia Downs.;
Gustaberg.;
Konschtat Highlands.;
Pashhow Marshlands.;
Rolanberry Fields.;
Beaucedine Glacier.;
Xarcabard.;
Cape Teriggan.;
Altepa Desert.;
Sarutabaruta.;
Tahrongi Canyon.;
Buburimu Peninsula.;
Meriphataud Mountains.;
Sauromugue Champaign.;
The Sanctuary of Zi'Tah.;
Yuhtunga & Yhoator Jungles.;
Qufim Island.;
Tu'Lia.;
Ferry.;
Airship.;
Jeuno.;
Uleguerand Range.;
Tavnazian Archipelago.;
Riverne - Sites #A01 & #B01.${prompt};
That area's forecast for today is for ${weather-noun: 0[2]} with occasional ${weather-noun: 1[2]}. There is also a slight chance of ${weather-noun: 2[2]}, so caution is advised.${prompt};
The forecast for tomorrow is for ${weather-noun: 0[2]} with occasional ${weather-noun: 1[2]}. There is also a slight chance of ${weather-noun: 2[2]}, so caution is advised.${prompt};
And, the forecast for the day after tomorrow is for ${weather-noun: 0[2]} with occasional ${weather-noun: 1[2]}. There is also a slight chance of ${weather-noun: 2[2]}, so caution is advised.${prompt};
Today, that area's weather will be ${weather-adjective: 0[2]} with a chance of ${weather-noun: 1[2]}.${prompt};
Tomorrow, the weather will be ${weather-adjective: 0[2]} with a chance of ${weather-noun: 1[2]}.${prompt};
And, the day after tomorrow, the weather will be ${weather-adjective: 0[2]} with a chance of ${weather-noun: 1[2]}.${prompt};
Today, the weather in that area will be ${weather-adjective: 0[2]}. There is also the possibility of ${weather-noun: 2[2]}, so caution is advised.${prompt};
Tomorrow, the weather will be ${weather-adjective: 0[2]}. There is also the possibility of ${weather-noun: 2[2]}, so caution is advised.${prompt};
And, the day after tomorrow, the weather will be ${weather-adjective: 0[2]}. There is also the possibility of ${weather-noun: 2[2]}, so caution is advised.${prompt};
The weather in that area today will be ${weather-adjective: 0[2]}.${prompt};
The weather tomorrow will be ${weather-adjective: 0[2]}.${prompt};
The weather the day after tomorrow will be ${weather-adjective: 0[2]}.${prompt};
And that's the report, straight from Vana'diel's official weather linkshell.${prompt};
What area's weather do you wish to know?;
${selection-lines};
Nowhere.;
Wajaom Woodlands.;
Bhaflau Thickets.;
Mount Zhayolm.;
Caedarva Mire.${prompt};
What area's weather do you wish to know?;
${selection-lines};
Nowhere.;
Ceizak Battlegrounds.;
Yahse Hunting Grounds.;
Foret de Hennetiel.;
Morimar Basalt Fields.;
Yorcia Weald.;
Marjami Ravine.;
Kamihr Drifts.${prompt};
${title: 6[2]}, a hero's story!;
The deeds of ${entity: 0}, in all their gloryâ™ª${prompt};
A traveling bard walks far and near;
While wand'ring this celestial sphere;
From bustling towns to godforsaken lands.;
But none I love more than the swell;
Inhabitants of Vana'diel,;
Espec'lly when their gil comes to my hands.â™ª${prompt};
Pay me what you think I'm worth;
And songs of legend may spring forth.â™ª${prompt};
Open your ears and take a ration;
Of my melodic cantillation.â™ª${prompt};
How much will you give the bard?;
${selection-lines};
Nothing.;
${number: 0} gil.;
${number: 1} gil.;
${number: 2} gil.;
${number: 3} gil.;
${number: 4} gil.;
${number: 5} gil.;
Let the bard decide your title.;
Unlock achievement.${prompt};
I cannot weave a ballad fair;
Out of moonbeams and thin air.â™ª${prompt};
This starving artist, your gil feeds;
Now tell me of your mighty deeds!â™ª${prompt};
Which title do you return to?;
${selection-lines};
None.;
${title: 1[2]}.;
${title: 2[2]}.;
${title: 3[2]}.;
${title: 4[2]}.;
${title: 5[2]}.;
${title: 6[2]}.;
${title: 7[2]}.;
${title: 8[2]}.;
${title: 9[2]}.;
${title: 10[2]}.;
${title: 11[2]}.;
${title: 12[2]}.;
${title: 13[2]}.;
${title: 14[2]}.;
${title: 15[2]}.;
${title: 16[2]}.;
${title: 17[2]}.;
${title: 18[2]}.;
${title: 19[2]}.;
${title: 20[2]}.;
${title: 21[2]}.;
${title: 22[2]}.;
${title: 23[2]}.;
${title: 24[2]}.;
${title: 25[2]}.;
${title: 26[2]}.;
${title: 27[2]}.;
${title: 28[2]}.${prompt};
I'll add you to my repertoire;
And sing of you! So, au revoir!â™ª${prompt};
The power of song, a mystical thing;
That comes forth only when you sing.;
A minstrel's job in life is never done.;
So sing a doodle-doodle-lay;
And be upon your merry way--;
And check your title, too, oh worthy one.â™ª${prompt};
${title: 0[2]}, a hero of our time!;
The name of ${entity: 0} throughout the world will chimeâ™ª${prompt};
Oh, what a soul, intrepid and bold;
To care not how your name is toldâ™ª${prompt};
Unlock which achievement?;
${selection-lines};
None.;
Job Level.;
Synthesis Skill 100.;
San d'Oria Rank 10.;
Bastok Rank 10.;
Windurst Rank 10.;
Zilart Missions.;
Promathia Missions.;
Aht Urhgan Missions.;
Mercenary Rank.;
${title: 27[2]}.;
${title: 28[2]}.;
${title: 29[2]}.;
${title: 30[2]}.;
${title: 31[2]}.;
${title: 32[2]}.;
${title: 33[2]}.;
${title: 34[2]}.;
${title: 35[2]}.;
${title: 36[2]}.;
${title: 37[2]}.;
${title: 38[2]}.;
View next page.${prompt};
Unlock which achievement?;
${selection-lines};
None.;
Artifact related Quests.;
Guildworkers' Union Entry.;
Wings of the Goddess Missions.;
Past Vana'diel Nation Quests.;
${lettercase: 1}${keyitem-singular: 8[2]}.;
${lettercase: 1}${keyitem-singular: 9[2]}.;
${lettercase: 1}${keyitem-singular: 10[2]}.;
${lettercase: 1}${keyitem-singular: 11[2]}.;
${lettercase: 1}${keyitem-singular: 12[2]}.;
${lettercase: 1}${keyitem-singular: 13[2]}.;
${lettercase: 1}${keyitem-singular: 14[2]}.;
${lettercase: 1}${keyitem-singular: 15[2]}.;
Support Jobs.;
Extra Jobs.;
${lettercase: 1}${item-singular: 16[2]}.;
${lettercase: 1}${item-singular: 17[2]}.;
${lettercase: 1}${item-singular: 18[2]}.${prompt};
Unlock which achievement?;
${selection-lines};
None.;
Level 75 Warrior.;
Level 75 Monk.;
Level 75 White Mage.;
Level 75 Black Mage.;
Level 75 Red Mage.;
Level 75 Thief.;
Level 75 Paladin.;
Level 75 Dark Knight.;
Level 75 Beastmaster.;
Level 75 Bard.;
Level 75 Ranger.;
Level 75 Samurai.;
Level 75 Ninja.;
Level 75 Dragoon.;
Level 75 Summoner.;
Level 75 Blue Mage.;
Level 75 Corsair.;
Level 75 Puppetmaster.;
Level 75 Dancer.;
Level 75 Scholar.${prompt};
You have no achievements to unlock.${prompt};
Return to which title?;
${selection-lines};
Forfeit gil and quit.${prompt};
Return to which title?;
${selection-lines};
Forfeit gil and quit.${prompt};
Return to which title?;
${selection-lines};
Forfeit gil and quit.${prompt};
Return to which title?;
${selection-lines};
Hon. Doctor, Majoring in Tonberries.;
Bushido Blade.;
Forfeit gil and quit.${prompt};
Return to which title?;
${selection-lines};
Black Marketeer.;
Cracker of the Secret Code.;
Looks Sublime in a Subligar.;
Looks Good in Leggings.;
Forfeit gil and quit.${prompt};
Return to which title?;
${selection-lines};
Apprentice Sommelier.;
Treasure-house Ransacker.;
Heir of the Great Water.;
Paragon of Samurai Excellence.;
Paragon of Ninja Excellence.;
Forfeit gil and quit.${prompt};
Return to which title?;
${selection-lines};
Guider of Souls to the Sanctuary.;
Bearer of Bonds Beyond Time.;
Friend of the Opo-opos.;
Forfeit gil and quit.${prompt};
Return to which title?;
${selection-lines};
Forfeit gil and quit.${prompt};
Return to which title?;
${selection-lines};
Forfeit gil and quit.${prompt};
Return to which title?;
${selection-lines};
Pentacide Perpetrator.;
Forfeit gil and quit.${prompt};
Return to which title?;
${selection-lines};
Bearer of the Wisewoman's Hope.;
Bearer of the Eight Prayers.;
Lightweaver.;
Destroyer of Antiquity.;
Sealer of the Portal of the Gods.;
Burier of the Illusion.;
Forfeit gil and quit.${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
${prompt};
A hunt registry has been placed here by the Adventurers' Mutual Aid Network (A.M.A.N.). Its pages are laden with the names of spine-chilling monsters.${prompt};
A hunt registry has been placed here by the Servicemen's Mutual Aid Network (S.M.A.N.). Its pages are laden with the names of spine-chilling monsters.${prompt};
What will you do?;
${selection-lines};
Nothing.;
Undertake a hunt.;
Read explanation.;
Record completion of hunt.;
View current hunt.;
Cancel current hunt.;
View scyld balance.${prompt};
You must cancel your current hunt if you wish to undertake another.${prompt};
Little time has passed since your last hunt. It is recommended that you take some time to recuperate before undertaking another.${prompt};
You cannot undertake a hunt while a training regime is active.${prompt};
Cancel your training regime?;
${selection-lines};
Yes.;
No.${prompt};
Current training regime canceled.${prompt};
You must either notify the completion of, or cancel your current hunt in order to undertake another.${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
West Ronfaure.;
East Ronfaure.;
La Theine Plateau.;
Valkurm Dunes.;
Jugner Forest.;
Batallia Downs.;
Carpenters' Landing.;
Ghelsba Outpost.;
Fort Ghelsba.;
King Ranperre's Tomb.;
Bostaunieux Oubliette.;
Ordelle's Caves.;
Eldieme Necropolis.;
Davoi.;
Habitat Unknown.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
North Gustaberg.;
South Gustaberg.;
Konschtat Highlands.;
Valkurm Dunes.;
Pashhow Marshlands.;
Rolanberry Fields.;
Palborough Mines.;
Dangruf Wadi.;
Korroloka Tunnel.;
Gusgen Mines.;
Crawlers' Nest.;
Beadeaux.;
Oldton Movalpolos.;
Newton Movalpolos.;
Habitat Unknown.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
West Sarutabaruta.;
East Sarutabaruta.;
Tahrongi Canyon.;
Buburimu Peninsula.;
Bibiki Bay.;
Meriphataud Mountains.;
Sauromugue Champaign.;
Attohwa Chasm.;
Giddeus.;
Toraimarai Canal.;
Inner Horutoto Ruins.;
Outer Horutoto Ruins.;
Maze of Shakhrami.;
Labyrinth of Onzozo.;
Garlaige Citadel.;
Castle Oztroja.;
Habitat Unknown.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Qufim Island.;
Beaucedine Glacier.;
Xarcabard.;
Uleguerand Range.;
The Sanctuary of Zi'Tah.;
Ro'Maeve.;
Upper Delkfutt's Tower.;
Middle Delkfutt's Tower.;
Lower Delkfutt's Tower.;
Ranguemont Pass.;
Fei'Yin.;
Castle Zvahl Baileys.;
Castle Zvahl Keep.;
The Boyahda Tree.;
Habitat Unknown.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Yuhtunga Jungle.;
Yhoator Jungle.;
Sea Serpent Grotto.;
Temple of Uggalepih.;
Den of Rancor.;
Ifrit's Cauldron.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Cape Teriggan.;
Eastern Altepa Desert.;
Western Altepa Desert.;
Kuftal Tunnel.;
Gustav Tunnel.;
Quicksand Caves.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Lufaise Meadows.;
Misareaux Coast.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Wajaom Woodlands.;
Bhaflau Thickets.;
Mount Zhayolm.;
Mamook.;
Aydeewa Subterrane.;
Halvung.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Caedarva Mire.;
Arrapago Reef.;
Alzadaal Undersea Ruins.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
East Ronfaure.;
Jugner Forest.;
Vunkerl Inlet.;
Batallia Downs.;
Eldieme Necropolis.;
Beaucedine Glacier.;
Xarcabard.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
North Gustaberg.;
Grauberg.;
Pashhow Marshlands.;
Rolanberry Fields.;
Crawlers' Nest.;
Beaucedine Glacier.;
Xarcabard.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
West Sarutabaruta.;
Fort Karugo-Narugo.;
Meriphataud Mountains.;
Sauromugue Champaign.;
Garlaige Citadel.;
Beaucedine Glacier.;
Xarcabard.;
${prompt};
Which page?;
${selection-lines};
I've changed my mind.;
Hunt #1.;
Hunt #2.;
Hunt #3.;
Hunt #4.;
Hunt #5.;
Hunt #6.;
Hunt #7.;
Hunt #8.;
Hunt #9.;
Hunt #10.;
Hunt #11.;
Hunt #12.;
Hunt #13.;
Hunt #14.;
Hunt #15.;
Hunt #16.;
Hunt #17.;
Hunt #18.;
Hunt #19.;
Hunt #20.;
Hunt #21.;
Hunt #22.;
Hunt #23.;
Hunt #24.;
